SNo,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,TotalCLOwithChair,TSV,TPV,TA,TCV,TSL,MC,SwC
62,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.07,0,1,1,2,2,4,2
63,1,1,0,6,22.2,5.1,47.8,16.9,5,11,0,1.21,0,1,1,3,3,4,2
64,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.21,-1,1,1,2,2,4,2
65,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.21,0,0,1,3,3,4,2
66,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.57,-1,1,0,1,1,4,3
67,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.4,0,1,1,2,2,4,2
68,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.26,0,1,1,2,2,4,2
69,1,1,0,6,22.2,5.1,47.8,16.9,5,11,0,1.29,0,1,1,2,2,4,2
70,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,0,0,1,3,2,4,2
71,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.04,-2,1,1,2,2,4,3
72,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.57,-1,1,1,2,2,4,2
73,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,-1,1,1,2,2,4,2
74,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,0,1,1,2,2,4,2
75,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.07,-1,1,1,2,1,4,2
76,1,1,0,6,22.2,5.1,47.8,16.9,5,12,0,1.07,0,1,1,2,2,4,2
77,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,0,0,1,3,2,4,2
78,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.12,0,1,1,3,2,4,2
79,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.15,1,2,0,2,2,4,3
80,1,1,0,6,22.2,5.1,47.8,16.9,5,11,0,1.21,0,0,1,2,2,4,2
81,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.43,0,0,1,2,1,4,2
82,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.21,0,0,1,2,1,4,2
83,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.48,-1,0,1,2,2,4,2
84,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.57,-1,1,1,2,1,4,2
85,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.07,-1,1,1,2,2,4,2
86,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.07,-1,0,1,2,1,4,2
87,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.07,0,0,1,3,2,4,2
88,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.21,-1,1,1,2,1,4,2
89,1,1,0,6,22.2,5.1,47.8,16.9,5,8,1,1.26,-1,1,1,2,2,4,2
90,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.12,-1,1,1,3,3,4,2
91,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.26,0,1,1,2,3,4,2
92,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.4,0,0,1,2,2,4,2
93,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.43,0,0,1,2,1,4,2
94,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.43,-1,1,1,2,1,4,2
95,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.43,-1,1,1,2,3,4,2
96,1,1,0,6,22.2,5.1,47.8,16.9,5,12,1,1.21,0,0,1,2,2,4,2
97,1,1,0,6,22.2,5.1,47.8,16.9,5,11,1,1.21,0,0,1,3,2,4,2
98,1,1,0,6,22.2,5.1,47.8,16.9,5,10,1,1.07,0,0,1,3,2,4,2
99,1,1,0,6,22.2,5.1,47.8,16.9,5,9,1,1.21,-1,1,1,3,2,4,3
100,1,1,0,6,22.2,5.1,47.8,16.9,5,12,1,1.21,-1,1,1,3,-2,4,2
101,1,1,0,6,22.2,5.1,47.8,16.9,5,12,1,1.57,0,0,1,3,-1,4,2
102,2,1,0,4,20.5,5,66.39,15.6,3,10,0,1.21,-1,0,1,3,2,4,2
103,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.04,0,2,1,3,2,4,3
104,2,1,0,4,20.5,5,66.39,15.6,3,10,0,1.04,0,0,1,2,2,4,2
105,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.21,0,0,1,3,2,4,2
106,2,1,0,4,20.5,5,66.39,15.6,3,9,1,1.21,0,1,1,2,2,4,2
107,2,1,0,4,20.5,5,66.39,15.6,3,9,1,1.43,0,1,1,1,1,4,2
108,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.21,0,1,1,3,2,4,2
109,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.4,0,0,1,2,2,4,1
110,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.43,0,1,1,2,1,4,1
111,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.04,0,0,1,3,-1,1,2
112,2,1,0,4,20.5,5,66.39,15.6,3,7,1,1.57,0,1,1,1,2,4,2
113,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.4,0,0,1,2,3,4,2
114,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.57,0,2,1,1,1,4,2
115,2,1,0,4,20.5,5,66.39,15.6,3,9,1,1.21,-1,1,1,2,1,4,2
116,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.21,0,0,1,2,2,4,2
117,2,1,0,4,20.5,5,66.39,15.6,3,7,1,0.9,-1,2,1,2,2,4,3
118,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.57,-1,1,1,2,2,4,3
119,2,1,0,4,20.5,5,66.39,15.6,3,8,1,1.29,0,0,1,2,3,4,2
120,2,1,0,4,20.5,5,66.39,15.6,3,8,1,1.21,0,1,1,2,2,4,2
121,2,1,0,4,20.5,5,66.39,15.6,3,8,1,1.21,1,0,1,2,1,4,1
122,2,1,0,4,20.5,5,66.39,15.6,3,9,1,1.57,0,1,1,2,2,4,2
123,2,1,0,4,20.5,5,66.39,15.6,3,8,0,1.26,-1,2,1,1,2,4,2
124,2,1,0,4,20.5,5,66.39,15.6,3,7,1,1.4,-1,2,1,1,1,4,2
125,2,1,0,4,20.5,5,66.39,15.6,3,10,0,1.21,-1,2,1,2,2,4,2
126,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.43,1,0,1,2,2,4,1
127,2,1,0,4,20.5,5,66.39,15.6,3,9,1,1.21,0,1,1,2,2,4,2
128,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.21,-1,1,1,2,1,4,2
129,2,1,0,4,20.5,5,66.39,15.6,3,9,0,1.04,0,1,1,2,2,4,2
130,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.04,0,1,1,2,2,4,2
131,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.4,0,0,1,2,2,4,2
132,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.4,0,1,1,2,2,4,1
133,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.43,0,0,1,2,3,4,2
134,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.4,0,1,1,2,1,4,2
135,2,1,0,5,20.5,5,66.39,15.1,4,9,0,1.7,1,0,1,2,1,4,1
136,2,1,0,5,20.5,5,66.39,15.1,4,9,0,0.9,0,2,1,2,1,4,2
137,2,1,0,5,20.5,5,66.39,15.1,4,10,0,1.54,0,1,1,2,2,4,2
138,2,1,0,5,20.5,5,66.39,15.1,4,10,0,1.04,0,0,1,3,3,4,2
139,2,1,0,5,20.5,5,65.8,15.1,4,11,1,1.26,0,1,1,2,2,4,2
140,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.4,0,0,1,3,3,4,2
141,2,1,0,5,20.5,5,65.8,15.1,4,11,1,1.4,0,0,1,3,3,4,2
142,2,1,0,5,20.5,5,65.8,15.1,4,11,1,1.43,1,0,1,3,3,4,1
143,2,1,0,5,20.5,5,65.8,15.1,4,10,1,1.07,1,1,1,2,2,4,2
144,2,1,0,5,20.5,5,65.8,15.1,4,9,1,1.43,0,0,1,3,3,4,2
145,2,1,0,5,20.5,5,65.8,15.1,4,9,1,1.21,0,0,1,2,2,4,2
146,2,1,0,5,20.5,5,65.8,15.1,4,9,1,0.9,0,0,1,3,3,4,2
147,2,1,0,5,20.5,5,65.8,15.1,4,11,1,1.4,0,1,1,2,1,4,2
